ID	HEX	名称	文名称	英文名称	版本存在
0	0000	无	なし	None	TRUE
1	0001	大师球	マスターボール	Master Ball	TRUE
2	0002	高级球	ハイパーボール	Ultra Ball	TRUE
3	0003	超级球	スーパーボール	Great Ball	TRUE
4	0004	精灵球	モンスターボール	Poké Ball	TRUE
5	0005	狩猎球	サファリボール	Safari Ball	TRUE
6	0006	捕网球	ネットボール	Net Ball	TRUE
7	0007	潜水球	ダイブボール	Dive Ball	TRUE
8	0008	巢穴球	ネストボール	Nest Ball	TRUE
9	0009	重复球	リピートボール	Repeat Ball	TRUE
10	000A	计时球	タイマーボール	Timer Ball	TRUE
11	000B	豪华球	ゴージャスボール	Luxury Ball	TRUE
12	000C	纪念球	プレミアボール	Premier Ball	TRUE
13	000D	黑暗球	ダークボール	Dusk Ball	TRUE
14	000E	治愈球	ヒールボール	Heal Ball	TRUE
15	000F	先机球	クイックボール	Quick Ball	TRUE
16	0010	贵重球	プレシャスボール	Cherish Ball	TRUE
17	0011	伤药	キズぐすり	Potion	TRUE
18	0012	解毒药	どくけし	Antidote	TRUE
19	0013	灼伤药	やけどなおし	Burn Heal	TRUE
20	0014	解冻药	こおりなおし	Ice Heal	TRUE
21	0015	解眠药	ねむけざまし	Awakening	TRUE
22	0016	解麻药	まひなおし	Paralyze Heal	TRUE
23	0017	全复药	かいふくのくすり	Full Restore	TRUE
24	0018	全满药	まんたんのくすり	Max Potion	TRUE
25	0019	厉害伤药	すごいキズぐすり	Hyper Potion	TRUE
26	001A	好伤药	いいキズぐすり	Super Potion	TRUE
27	001B	万灵药	なんでもなおし	Full Heal	TRUE
28	001C	活力碎片	げんきのかけら	Revive	TRUE
29	001D	活力块	げんきのかたまり	Max Revive	TRUE
30	001E	美味之水	おいしいみず	Fresh Water	TRUE
31	001F	劲爽汽水	サイコソーダ	Soda Pop	TRUE
32	0020	果汁牛奶	ミックスオレ	Lemonade	TRUE
33	0021	哞哞鲜奶	モーモーミルク	Moomoo Milk	TRUE
34	0022	元气粉	ちからのこな	Energy Powder	TRUE
35	0023	元气根	ちからのねっこ	Energy Root	TRUE
36	0024	万能粉	ばんのうごな	Heal Powder	TRUE
37	0025	复活草	ふっかつそう	Revival Herb	TRUE
38	0026	ＰＰ单项小补剂	ピーピーエイド	Ether	TRUE
39	0027	ＰＰ单项全补剂	ピーピーリカバー	Max Ether	TRUE
40	0028	ＰＰ多项小补剂	ピーピーエイダー	Elixir	TRUE
41	0029	ＰＰ多项全补剂	ピーピーマックス	Max Elixir	TRUE
42	002A	釜炎仙贝	フエンせんべい	Lava Cookie	#N/A
43	002B	树果汁	きのみジュース	Berry Juice	#N/A
44	002C	圣灰	せいなるはい	Sacred Ash	#N/A
45	002D	ＨＰ增强剂	マックスアップ	HP Up	TRUE
46	002E	攻击增强剂	タウリン	Protein	TRUE
47	002F	防御增强剂	ブロムヘキシン	Iron	TRUE
48	0030	速度增强剂	インドメタシン	Carbos	TRUE
49	0031	特攻增强剂	リゾチウム	Calcium	TRUE
50	0032	神奇糖果	ふしぎなアメ	Rare Candy	TRUE
51	0033	ＰＰ提升剂	ポイントアップ	PP Up	TRUE
52	0034	特防增强剂	キトサン	Zinc	TRUE
53	0035	ＰＰ极限提升剂	ポイントマックス	PP Max	TRUE
54	0036	森之羊羹	もりのヨウカン	Old Gateau	#N/A
55	0037	能力防守	エフェクトガード	Guard Spec.	TRUE
56	0038	要害攻击	クリティカット	Dire Hit	TRUE
57	0039	力量强化	プラスパワー	X Attack	TRUE
58	003A	防御强化	ディフェンダー	X Defense	TRUE
59	003B	速度强化	スピーダー	X Speed	TRUE
60	003C	命中强化	ヨクアタール	X Accuracy	TRUE
61	003D	特攻强化	スペシャルアップ	X Sp. Atk	TRUE
62	003E	特防强化	スペシャルガード	X Sp. Def	TRUE
63	003F	皮皮玩偶	ピッピにんぎょう	Poké Doll	TRUE
64	0040	向尾喵的尾巴	エネコのシッポ	Fluffy Tail	#N/A
65	0041	蓝色玻璃哨	あおいビードロ	Blue Flute	#N/A
66	0042	黄色玻璃哨	きいろビードロ	Yellow Flute	#N/A
67	0043	红色玻璃哨	あかいビードロ	Red Flute	#N/A
68	0044	黑色玻璃哨	くろいビードロ	Black Flute	#N/A
69	0045	白色玻璃哨	しろいビードロ	White Flute	#N/A
70	0046	浅滩海盐	あさせのしお	Shoal Salt	#N/A
71	0047	浅滩贝壳	あさせのかいがら	Shoal Shell	#N/A
72	0048	红色碎片	あかいかけら	Red Shard	#N/A
73	0049	蓝色碎片	あおいかけら	Blue Shard	#N/A
74	004A	黄色碎片	きいろいかけら	Yellow Shard	#N/A
75	004B	绿色碎片	みどりのかけら	Green Shard	#N/A
76	004C	白银喷雾	シルバースプレー	Super Repel	TRUE
77	004D	黄金喷雾	ゴールドスプレー	Max Repel	TRUE
78	004E	离洞绳	あなぬけのヒモ	Escape Rope	TRUE
79	004F	除虫喷雾	むしよけスプレー	Repel	TRUE
80	0050	日之石	たいようのいし	Sun Stone	TRUE
81	0051	月之石	つきのいし	Moon Stone	TRUE
82	0052	火之石	ほのおのいし	Fire Stone	TRUE
83	0053	雷之石	かみなりのいし	Thunder Stone	TRUE
84	0054	水之石	みずのいし	Water Stone	TRUE
85	0055	叶之石	リーフのいし	Leaf Stone	TRUE
86	0056	小蘑菇	ちいさなキノコ	Tiny Mushroom	TRUE
87	0057	大蘑菇	おおきなキノコ	Big Mushroom	TRUE
88	0058	珍珠	しんじゅ	Pearl	TRUE
89	0059	大珍珠	おおきなしんじゅ	Big Pearl	TRUE
90	005A	星星沙子	ほしのすな	Stardust	TRUE
91	005B	星星碎片	ほしのかけら	Star Piece	TRUE
92	005C	金珠	きんのたま	Nugget	TRUE
93	005D	心之鳞片	ハートのウロコ	Heart Scale	#N/A
94	005E	甜甜蜜	あまいミツ	Honey	TRUE
95	005F	速速肥	すくすくこやし	Growth Mulch	#N/A
96	0060	湿湿肥	じめじめこやし	Damp Mulch	#N/A
97	0061	久久肥	ながながこやし	Stable Mulch	#N/A
98	0062	粘粘肥	ねばねばこやし	Gooey Mulch	#N/A
99	0063	根状化石	ねっこのカセキ	Root Fossil	#N/A
100	0064	爪子化石	ツメのカセキ	Claw Fossil	#N/A
101	0065	贝壳化石	かいのカセキ	Helix Fossil	#N/A
102	0066	甲壳化石	こうらのカセキ	Dome Fossil	#N/A
103	0067	秘密琥珀	ひみつのコハク	Old Amber	#N/A
104	0068	盾甲化石	たてのカセキ	Armor Fossil	#N/A
105	0069	头盖化石	ずがいのカセキ	Skull Fossil	#N/A
106	006A	贵重骨头	きちょうなホネ	Rare Bone	TRUE
107	006B	光之石	ひかりのいし	Shiny Stone	TRUE
108	006C	暗之石	やみのいし	Dusk Stone	TRUE
109	006D	觉醒之石	めざめいし	Dawn Stone	TRUE
110	006E	浑圆之石	まんまるいし	Oval Stone	TRUE
111	006F	楔石	かなめいし	Odd Keystone	TRUE
112	0070	白金宝珠	はっきんだま	Griseous Orb	TRUE
113	0071	茶	おちゃ	Tea	#N/A
114	0072	？？？	？？？	???	#N/A
115	0073	马志士的签名	マチスのサイン	Autograph	#N/A
116	0074	水流卡带	アクアカセット	Douse Drive	#N/A
117	0075	闪电卡带	イナズマカセット	Shock Drive	#N/A
118	0076	火焰卡带	ブレイズカセット	Burn Drive	#N/A
119	0077	冰冻卡带	フリーズカセット	Chill Drive	#N/A
120	0078	？？？	？？？	???	#N/A
121	0079	宝可梦盒	ポケモンボックス	Pokémon Box Link	#N/A
122	007A	回复口袋	かいふくポケット	Medicine Pocket	#N/A
123	007B	招式学习器盒	わざマシンケース	TM Case	#N/A
124	007C	糖果罐	アメボトル	Candy Jar	#N/A
125	007D	强化口袋	きょうかポケット	Power-Up Pocket	#N/A
126	007E	换装箱	おきがえトランク	Clothing Trunk	#N/A
127	007F	捕捉口袋	ほかくポケット	Catching Pocket	#N/A
128	0080	对战口袋	バトルポケット	Battle Pocket	#N/A
129	0081	？？？	？？？	???	#N/A
130	0082	？？？	？？？	???	#N/A
131	0083	？？？	？？？	???	#N/A
132	0084	？？？	？？？	???	#N/A
133	0085	？？？	？？？	???	#N/A
134	0086	心形甜点	ハートスイーツ	Sweet Heart	#N/A
135	0087	金刚宝珠	こんごうだま	Adamant Orb	TRUE
136	0088	白玉宝珠	しらたま	Lustrous Orb	TRUE
137	0089	初次邮件	はじめてメール	Greet Mail	#N/A
138	008A	喜爱邮件	だいすきメール	Favored Mail	#N/A
139	008B	邀请邮件	おさそいメール	RSVP Mail	#N/A
140	008C	感谢邮件	かんしゃメール	Thanks Mail	#N/A
141	008D	询问邮件	しつもんメール	Inquiry Mail	#N/A
142	008E	推荐邮件	おすすめメール	Like Mail	#N/A
143	008F	回复邮件	おかえしメール	Reply Mail	#N/A
144	0090	桥梁邮件Ｓ	ブリッジメールＳ	Bridge Mail S	#N/A
145	0091	桥梁邮件Ｈ	ブリッジメールＨ	Bridge Mail D	#N/A
146	0092	桥梁邮件Ｃ	ブリッジメールＣ	Bridge Mail T	#N/A
147	0093	桥梁邮件Ｖ	ブリッジメールＶ	Bridge Mail V	#N/A
148	0094	桥梁邮件Ｗ	ブリッジメールＷ	Bridge Mail M	#N/A
149	0095	樱子果	クラボのみ	Cheri Berry	TRUE
150	0096	零余果	カゴのみ	Chesto Berry	TRUE
151	0097	桃桃果	モモンのみ	Pecha Berry	TRUE
152	0098	莓莓果	チーゴのみ	Rawst Berry	TRUE
153	0099	利木果	ナナシのみ	Aspear Berry	TRUE
154	009A	苹野果	ヒメリのみ	Leppa Berry	TRUE
155	009B	橙橙果	オレンのみ	Oran Berry	TRUE
156	009C	柿仔果	キーのみ	Persim Berry	TRUE
157	009D	木子果	ラムのみ	Lum Berry	TRUE
158	009E	文柚果	オボンのみ	Sitrus Berry	TRUE
159	009F	勿花果	フィラのみ	Figy Berry	TRUE
160	00A0	异奇果	ウイのみ	Wiki Berry	TRUE
161	00A1	芒芒果	マゴのみ	Mago Berry	TRUE
162	00A2	乐芭果	バンジのみ	Aguav Berry	TRUE
163	00A3	芭亚果	イアのみ	Iapapa Berry	TRUE
164	00A4	蔓莓果	ズリのみ	Razz Berry	TRUE
165	00A5	墨莓果	ブリーのみ	Bluk Berry	TRUE
166	00A6	蕉香果	ナナのみ	Nanab Berry	TRUE
167	00A7	西梨果	セシナのみ	Wepear Berry	TRUE
168	00A8	凰梨果	パイルのみ	Pinap Berry	TRUE
169	00A9	榴石果	ザロクのみ	Pomeg Berry	TRUE
170	00AA	藻根果	ネコブのみ	Kelpsy Berry	TRUE
171	00AB	比巴果	タポルのみ	Qualot Berry	TRUE
172	00AC	哈密果	ロメのみ	Hondew Berry	TRUE
173	00AD	萄葡果	ウブのみ	Grepa Berry	TRUE
174	00AE	茄番果	マトマのみ	Tamato Berry	TRUE
175	00AF	玉黍果	モコシのみ	Cornn Berry	TRUE
176	00B0	岳竹果	ゴスのみ	Magost Berry	TRUE
177	00B1	茸丹果	ラブタのみ	Rabuta Berry	TRUE
178	00B2	檬柠果	ノメルのみ	Nomel Berry	TRUE
179	00B3	刺角果	ノワキのみ	Spelon Berry	TRUE
180	00B4	椰木果	シーヤのみ	Pamtre Berry	TRUE
181	00B5	瓜西果	カイスのみ	Watmel Berry	TRUE
182	00B6	金枕果	ドリのみ	Durin Berry	TRUE
183	00B7	靛莓果	ベリブのみ	Belue Berry	TRUE
184	00B8	巧可果	オッカのみ	Occa Berry	TRUE
185	00B9	千香果	イトケのみ	Passho Berry	TRUE
186	00BA	烛木果	ソクノのみ	Wacan Berry	TRUE
187	00BB	罗子果	リンドのみ	Rindo Berry	TRUE
188	00BC	番荔果	ヤチェのみ	Yache Berry	TRUE
189	00BD	莲蒲果	ヨプのみ	Chople Berry	TRUE
190	00BE	通通果	ビアーのみ	Kebia Berry	TRUE
191	00BF	腰木果	シュカのみ	Shuca Berry	TRUE
192	00C0	棱瓜果	バコウのみ	Coba Berry	TRUE
193	00C1	福禄果	ウタンのみ	Payapa Berry	TRUE
194	00C2	扁樱果	タンガのみ	Tanga Berry	TRUE
195	00C3	草蚕果	ヨロギのみ	Charti Berry	TRUE
196	00C4	佛柑果	カシブのみ	Kasib Berry	TRUE
197	00C5	莓榴果	ハバンのみ	Haban Berry	TRUE
198	00C6	刺耳果	ナモのみ	Colbur Berry	TRUE
199	00C7	霹霹果	リリバのみ	Babiri Berry	TRUE
200	00C8	灯浆果	ホズのみ	Chilan Berry	TRUE
201	00C9	枝荔果	チイラのみ	Liechi Berry	TRUE
202	00CA	龙睛果	リュガのみ	Ganlon Berry	TRUE
203	00CB	沙鳞果	カムラのみ	Salac Berry	TRUE
204	00CC	龙火果	ヤタピのみ	Petaya Berry	TRUE
205	00CD	杏仔果	ズアのみ	Apicot Berry	TRUE
206	00CE	兰萨果	サンのみ	Lansat Berry	TRUE
207	00CF	星桃果	スターのみ	Starf Berry	TRUE
208	00D0	谜芝果	ナゾのみ	Enigma Berry	TRUE
209	00D1	奇秘果	ミクルのみ	Micle Berry	TRUE
210	00D2	释陀果	イバンのみ	Custap Berry	TRUE
211	00D3	嘉珍果	ジャポのみ	Jaboca Berry	TRUE
212	00D4	雾莲果	レンブのみ	Rowap Berry	TRUE
213	00D5	光粉	ひかりのこな	Bright Powder	TRUE
214	00D6	白色香草	しろいハーブ	White Herb	TRUE
215	00D7	强制锻炼器	きょうせいギプス	Macho Brace	#N/A
216	00D8	学习装置	がくしゅうそうち	Exp. Share	TRUE
217	00D9	先制之爪	せんせいのツメ	Quick Claw	TRUE
218	00DA	安抚之铃	やすらぎのすず	Soothe Bell	TRUE
219	00DB	心灵香草	メンタルハーブ	Mental Herb	TRUE
220	00DC	讲究头带	こだわりハチマキ	Choice Band	TRUE
221	00DD	王者之证	おうじゃのしるし	King’s Rock	TRUE
222	00DE	银粉	ぎんのこな	Silver Powder	TRUE
223	00DF	护符金币	おまもりこばん	Amulet Coin	TRUE
224	00E0	洁净之符	きよめのおふだ	Cleanse Tag	TRUE
225	00E1	心之水滴	こころのしずく	Soul Dew	TRUE
226	00E2	深海之牙	しんかいのキバ	Deep Sea Tooth	#N/A
227	00E3	深海鳞片	しんかいのウロコ	Deep Sea Scale	#N/A
228	00E4	烟雾球	けむりだま	Smoke Ball	TRUE
229	00E5	不变之石	かわらずのいし	Everstone	TRUE
230	00E6	气势头带	きあいのハチマキ	Focus Band	TRUE
231	00E7	幸运蛋	しあわせタマゴ	Lucky Egg	TRUE
232	00E8	焦点镜	ピントレンズ	Scope Lens	TRUE
233	00E9	金属膜	メタルコート	Metal Coat	TRUE
234	00EA	吃剩的东西	たべのこし	Leftovers	TRUE
235	00EB	龙之鳞片	りゅうのウロコ	Dragon Scale	TRUE
236	00EC	电气球	でんきだま	Light Ball	TRUE
237	00ED	柔软沙子	やわらかいすな	Soft Sand	TRUE
238	00EE	硬石头	かたいいし	Hard Stone	TRUE
239	00EF	奇迹种子	きせきのタネ	Miracle Seed	TRUE
240	00F0	黑色眼镜	くろいメガネ	Black Glasses	TRUE
241	00F1	黑带	くろおび	Black Belt	TRUE
242	00F2	磁铁	じしゃく	Magnet	TRUE
243	00F3	神秘水滴	しんぴのしずく	Mystic Water	TRUE
244	00F4	锐利鸟嘴	するどいくちばし	Sharp Beak	TRUE
245	00F5	毒针	どくバリ	Poison Barb	TRUE
246	00F6	不融冰	とけないこおり	Never-Melt Ice	TRUE
247	00F7	咒术之符	のろいのおふだ	Spell Tag	TRUE
248	00F8	弯曲的汤匙	まがったスプーン	Twisted Spoon	TRUE
249	00F9	木炭	もくたん	Charcoal	TRUE
250	00FA	龙之牙	りゅうのキバ	Dragon Fang	TRUE
251	00FB	丝绸围巾	シルクのスカーフ	Silk Scarf	TRUE
252	00FC	升级数据	アップグレード	Upgrade	TRUE
253	00FD	贝壳之铃	かいがらのすず	Shell Bell	TRUE
254	00FE	海潮薰香	うしおのおこう	Sea Incense	TRUE
255	00FF	悠闲薰香	のんきのおこう	Lax Incense	TRUE
256	0100	吉利拳	ラッキーパンチ	Lucky Punch	#N/A
257	0101	金属粉	メタルパウダー	Metal Powder	#N/A
258	0102	粗骨头	ふといホネ	Thick Club	#N/A
259	0103	大葱	ながねぎ	Leek	#N/A
260	0104	红色头巾	あかいバンダナ	Red Scarf	#N/A
261	0105	蓝色头巾	あおいバンダナ	Blue Scarf	#N/A
262	0106	粉红头巾	ピンクのバンダナ	Pink Scarf	#N/A
263	0107	绿色头巾	みどりのバンダナ	Green Scarf	#N/A
264	0108	黄色头巾	きいろのバンダナ	Yellow Scarf	#N/A
265	0109	广角镜	こうかくレンズ	Wide Lens	TRUE
266	010A	力量头带	ちからのハチマキ	Muscle Band	TRUE
267	010B	博识眼镜	ものしりメガネ	Wise Glasses	TRUE
268	010C	达人带	たつじんのおび	Expert Belt	TRUE
269	010D	光之黏土	ひかりのねんど	Light Clay	TRUE
270	010E	生命宝珠	いのちのたま	Life Orb	TRUE
271	010F	强力香草	パワフルハーブ	Power Herb	TRUE
272	0110	剧毒宝珠	どくどくだま	Toxic Orb	TRUE
273	0111	火焰宝珠	かえんだま	Flame Orb	TRUE
274	0112	速度粉	スピードパウダー	Quick Powder	#N/A
275	0113	气势披带	きあいのタスキ	Focus Sash	TRUE
276	0114	对焦镜	フォーカスレンズ	Zoom Lens	TRUE
277	0115	节拍器	メトロノーム	Metronome	TRUE
278	0116	黑色铁球	くろいてっきゅう	Iron Ball	TRUE
279	0117	后攻之尾	こうこうのしっぽ	Lagging Tail	TRUE
280	0118	红线	あかいいと	Destiny Knot	TRUE
281	0119	黑色污泥	くろいヘドロ	Black Sludge	TRUE
282	011A	冰冷岩石	つめたいいわ	Icy Rock	TRUE
283	011B	沙沙岩石	さらさらいわ	Smooth Rock	TRUE
284	011C	炽热岩石	あついいわ	Heat Rock	TRUE
285	011D	潮湿岩石	しめったいわ	Damp Rock	TRUE
286	011E	紧缠钩爪	ねばりのかぎづめ	Grip Claw	TRUE
287	011F	讲究围巾	こだわりスカーフ	Choice Scarf	TRUE
288	0120	附着针	くっつきバリ	Sticky Barb	TRUE
289	0121	力量护腕	パワーリスト	Power Bracer	TRUE
290	0122	力量腰带	パワーベルト	Power Belt	TRUE
291	0123	力量镜	パワーレンズ	Power Lens	TRUE
292	0124	力量束带	パワーバンド	Power Band	TRUE
