ID	HEX	EN_NAME	CN_NAME	JP_NAME
0	0000	———	———	———
1	0001	Pound	拍击	はたく
2	0002	Karate Chop	空手劈	からてチョップ
3	0003	Double Slap	连环巴掌	おうふくビンタ
4	0004	Comet Punch	连续拳	れんぞくパンチ
5	0005	Mega Punch	百万吨重拳	メガトンパンチ
6	0006	Pay Day	聚宝功	ネコにこばん
7	0007	Fire Punch	火焰拳	ほのおのパンチ
8	0008	Ice Punch	冰冻拳	れいとうパンチ
9	0009	Thunder Punch	雷电拳	かみなりパンチ
10	000A	Scratch	抓	ひっかく
11	000B	Vise Grip	夹住	はさむ
12	000C	Guillotine	断头钳	ハサミギロチン
13	000D	Razor Wind	旋风刀	かまいたち
14	000E	Swords Dance	剑舞	つるぎのまい
15	000F	Cut	居合斩	いあいぎり
16	0010	Gust	起风	かぜおこし
17	0011	Wing Attack	翅膀攻击	つばさでうつ
18	0012	Whirlwind	吹飞	ふきとばし
19	0013	Fly	飞翔	そらをとぶ
20	0014	Bind	绑紧	しめつける
21	0015	Slam	摔打	たたきつける
22	0016	Vine Whip	藤鞭	つるのムチ
23	0017	Stomp	踩踏	ふみつけ
24	0018	Double Kick	二连踢	にどげり
25	0019	Mega Kick	百万吨重踢	メガトンキック
26	001A	Jump Kick	飞踢	とびげり
27	001B	Rolling Kick	回旋踢	まわしげり
28	001C	Sand Attack	泼沙	すなかけ
29	001D	Headbutt	头锤	ずつき
30	001E	Horn Attack	角撞	つのでつく
31	001F	Fury Attack	乱击	みだれづき
32	0020	Horn Drill	角钻	つのドリル
33	0021	Tackle	撞击	たいあたり
34	0022	Body Slam	泰山压顶	のしかかり
35	0023	Wrap	紧束	まきつく
36	0024	Take Down	猛撞	とっしん
37	0025	Thrash	大闹一番	あばれる
38	0026	Double-Edge	舍身冲撞	すてみタックル
39	0027	Tail Whip	摇尾巴	しっぽをふる
40	0028	Poison Sting	毒针	どくばり
41	0029	Twineedle	双针	ダブルニードル
42	002A	Pin Missile	飞弹针	ミサイルばり
43	002B	Leer	瞪眼	にらみつける
44	002C	Bite	咬住	かみつく
45	002D	Growl	叫声	なきごえ
46	002E	Roar	吼叫	ほえる
47	002F	Sing	唱歌	うたう
48	0030	Supersonic	超音波	ちょうおんぱ
49	0031	Sonic Boom	音爆	ソニックブーム
50	0032	Disable	定身法	かなしばり
51	0033	Acid	溶解液	ようかいえき
52	0034	Ember	火花	ひのこ
53	0035	Flamethrower	喷射火焰	かえんほうしゃ
54	0036	Mist	白雾	しろいきり
55	0037	Water Gun	水枪	みずでっぽう
56	0038	Hydro Pump	水炮	ハイドロポンプ
57	0039	Surf	冲浪	なみのり
58	003A	Ice Beam	冰冻光束	れいとうビーム
59	003B	Blizzard	暴风雪	ふぶき
60	003C	Psybeam	幻象光线	サイケこうせん
61	003D	Bubble Beam	泡沫光线	バブルこうせん
62	003E	Aurora Beam	极光束	オーロラビーム
63	003F	Hyper Beam	破坏光线	はかいこうせん
64	0040	Peck	啄	つつく
65	0041	Drill Peck	啄钻	ドリルくちばし
66	0042	Submission	地狱翻滚	じごくぐるま
67	0043	Low Kick	踢倒	けたぐり
68	0044	Counter	双倍奉还	カウンター
69	0045	Seismic Toss	地球上投	ちきゅうなげ
70	0046	Strength	怪力	かいりき
71	0047	Absorb	吸取	すいとる
72	0048	Mega Drain	超级吸取	メガドレイン
73	0049	Leech Seed	寄生种子	やどりぎのタネ
74	004A	Growth	生长	せいちょう
75	004B	Razor Leaf	飞叶快刀	はっぱカッター
76	004C	Solar Beam	日光束	ソーラービーム
77	004D	Poison Powder	毒粉	どくのこな
78	004E	Stun Spore	麻痹粉	しびれごな
79	004F	Sleep Powder	催眠粉	ねむりごな
80	0050	Petal Dance	花瓣舞	はなびらのまい
81	0051	String Shot	吐丝	いとをはく
82	0052	Dragon Rage	龙之怒	りゅうのいかり
