0725	手机洛托姆	スマホロトム	Rotom Phone
0726	三明治		Sandwich
0727	故勒顿的球		Koraidon’s Poké Ball
0728	密勒顿的球		Miraidon’s Poké Ball
0729	太晶珠	テラスタルオーブ	Tera Orb
072A	朱之书	スカーレットブック	Scarlet Book
072B	紫之书	バイオレットブック	Violet Book
072C			Kofu's Wallet
072D			
072E			
072F			
0730			
0731			
0732			Tiny Bamboo Shoot
0733			Tiny Bamboo Shoot
0734			
0735			
0736			
0737			
0738			
0739			
073A			
073B			
073C			
073D			
073E			
073F			
0740			
0741			Scroll of Darkness
0742			Scroll of Waters
0743			
0744			
0745	咒术之铠		Malicious Armor
0746	一般太晶碎块		Normal Tera Shard
0747	火太晶碎块		Fire Tera Shard
0748	水太晶碎块		Water Tera Shard
0749	电太晶碎块		Electric Tera Shard
074A	草太晶碎块		Grass Tera Shard
074B	冰太晶碎块		Ice Tera Shard
074C	格斗太晶碎块		Fighting Tera Shard
074D	毒太晶碎块		Poison Tera Shard
074E	地面太晶碎块		Ground Tera Shard
074F	飞行太晶碎块		Flying Tera Shard
0750	超能力太晶碎块		Psychic Tera Shard
0751	虫太晶碎块		Bug Tera Shard
0752	岩石太晶碎块		Rock Tera Shard
0753	幽灵太晶碎块		Ghost Tera Shard
0754	龙太晶碎块		Dragon Tera Shard
0755	恶太晶碎块		Dark Tera Shard
0756	钢太晶碎块		Steel Tera Shard
0757	妖精太晶碎块		Fairy Tera Shard
0758	驱劲能量		Booster Energy
0759	特性护具		Ability Shield
075A	清净坠饰		Clear Amulet
075B	模仿香草		Mirror Herb
075C	拳击手套		Punching Glove
075D	密探斗篷		Covert Cloak
075E	机变骰子		Loaded Dice
075F			
0760	长棍面包		Baguette
0761	蛋黄酱		Mayonnaise
0762	番茄酱		Ketchup
0763	黄芥末酱		Mustard
0764	黄油		Butter
0765	花生酱		Peanut Butter
0766	辣酱		Chili Sauce
0767	盐		Salt
0768	胡椒		Pepper
0769	酸奶		Yogurt
076A	鲜奶油		Whipped Cream
076B	奶油芝士		Cream Cheese
076C	莓果酱		Jam
076D	橘子酱		Marmalade
076E	橄榄油		Olive Oil
076F	醋		Vinegar
0770	秘传：甜味料		Sweet Herba Mystica
0771	秘传：咸味料		Salty Herba Mystica
0772	秘传：酸味料		Sour Herba Mystica
0773	秘传：苦味料		Bitter Herba Mystica
0774	秘传：辣味料		Spicy Herba Mystica
0775	生菜		Lettuce
0776	番茄片		Tomato
0777	小番茄块		Cherry Tomatoes
0778	小黄瓜片		Cucumber
0779	酸黄瓜片		Pickle
077A	洋葱片		Onion
077B	红洋葱		Red Onion
077C	青椒片		Green Bell Pepper
077D	红椒片		Red Bell Pepper
077E	黄椒片		Yellow Bell Pepper
077F	牛油果		Avocado
0780	煎培根		Bacon
0781	火腿片		Ham
0782	生火腿		Prosciutto
0783	煎辣香肠		Chorizo
0784	香草香肠		Herbed Sausage
0785	汉堡排		Hamburger
0786	毛崖蟹棒		Klawf Stick
0787	烟熏鱼片		Smoked Fillet
0788	炸鱼片		Fried Fillet
0789	水煮蛋片		Egg
078A	烘蛋		Potato Tortilla
078B	豆腐		Tofu
078C	米饭		Rice
078D	面条		Noodles
078E	土豆沙拉		Potato Salad
078F	芝士片		Cheese
0790	香蕉片		Banana
0791	草莓片		Strawberry
0792	苹果片		Apple
0793	奇异果片		Kiwi
0794	凤梨片		Pineapple
0795	小辣椒		Jalapeño
0796	辣根		Horseradish
0797	咖喱粉		Curry Powder
0798	芥末酱		Wasabi
0799	豆瓣菜		Watercress
079A	罗勒		Basil
079B			
079C			
079D			
079E			
079F			
07A0			
07A1			
07A2			
07A3			
07A4	毛球的牙		Venonat Fang
07A5	地鼠的土		Diglett Dirt
07A6	喵喵的毛		Meowth Fur
07A7	可达鸭的羽绒		Psyduck Down
07A8	猴怪的毛		Mankey Fur
07A9	卡蒂狗的毛		Growlithe Fur
07AA	呆呆兽的爪子		Slowpoke Claw
07AB	小磁怪的螺丝		Magnemite Screw
07AC	臭泥的毒素		Grimer Toxin
07AD	大舌贝的珍珠		Shellder Pearl
07AE	鬼斯的气体		Gastly Gas
07AF	催眠貘的毛		Drowzee Fur
07B0	霹雳电球的电力		Voltorb Sparks
07B1	飞天螳螂的爪子		Scyther Claw
07B2	肯泰罗的毛		Tauros Hair
07B3	鲤鱼王的鳞片		Magikarp Scales
07B4	百变怪的黏糊		Ditto Goo
07B5	伊布的毛		Eevee Fur
07B6	迷你龙的鳞片		Dratini Scales
07B7	皮丘的毛		Pichu Fur
07B8	宝宝丁的毛		Igglybuff Fluff
07B9	咩利羊的毛球		Mareep Wool
07BA	毽子草的叶片		Hoppip Leaf
07BB	向日种子的叶片		Sunkern Leaf
07BC	黑暗鸦的宝物		Murkrow Bauble
07BD	梦妖的眼泪		Misdreavus Tears
07BE	麒麟奇的毛		Girafarig Fur
07BF	榛果球的壳		Pineco Husk
07C0	土龙弟弟的鳞片		Dunsparce Scales
07C1	千针鱼的刺		Qwilfish Spines
07C2	赫拉克罗斯的爪子		Heracross Claw
07C3	狃拉的爪子		Sneasel Claw
07C4	熊宝宝的爪子		Teddiursa Claw
07C5	信使鸟的行李		Delibird Parcel
07C6	戴鲁比的牙		Houndour Fang
07C7	小小象的爪子		Phanpy Nail
07C8	惊角鹿的毛		Stantler Hair
07C9	幼基拉斯的爪子		Larvitar Claw
07CA	长翅鸥的羽毛		Wingull Feather
07CB	拉鲁拉丝的掉落物		Ralts Dust
07CC	溜溜糖球的蜜		Surskit Syrup
07CD	蘑蘑菇的孢子		Shroomish Spores
07CE	懒人獭的毛		Slakoth Fur
07CF	幕下力士的汗		Makuhita Sweat
07D0	露力丽的毛		Azurill Fur
07D1	勾魂眼的宝石		Sableye Gem
07D2	玛沙那的汗		Meditite Sweat
07D3	溶食兽的黏液		Gulpin Mucus
07D4	呆火驼的熔岩		Numel Lava
07D5	煤炭龟的煤炭		Torkoal Coal
07D6	跳跳猪的珍珠		Spoink Pearl
07D7	刺球仙人掌的刺		Cacnea Needle
07D8	青绵鸟的羽毛		Swablu Fluff
07D9	猫鼬斩的爪子		Zangoose Claw
07DA	饭匙蛇的牙		Seviper Fang
07DB	泥泥鳅的黏液		Barboach Slime
07DC	怨影娃娃的残片		Shuppet Scrap
07DD	热带龙的叶片		Tropius Leaf
07DE	雪童子的毛		Snorunt Fur
07DF	爱心鱼的鳞片		Luvdisc Scales
07E0	宝贝龙的鳞片		Bagon Scales
07E1	姆克儿的羽毛		Starly Feather
07E2	圆法师的蜕壳		Kricketot Shell
07E3	小猫怪的牙		Shinx Fang
07E4	三蜜蜂的蜜		Combee Honey
07E5	帕奇利兹的毛		Pachirisu Fur
07E6	泳圈鼬的毛		Buizel Fur
07E7	无壳海兔的黏液		Shellos Mucus
07E8	飘飘球的气体		Drifloon Gas
07E9	臭鼬噗的毛		Stunky Fur
07EA	铜镜怪的碎片		Bronzor Fragment
07EB	盆才怪的眼泪		Bonsly Tears
07EC	小福蛋的掉落物		Happiny Dust
07ED	花岩怪的碎片		Spiritomb Fragment
07EE	圆陆鲨的鳞片		Gible Scales
07EF	利欧路的毛		Riolu Fur
07F0	沙河马的沙		Hippopotas Sand
07F1	不良蛙的毒素		Croagunk Poison
07F2	荧光鱼的鳞片		Finneon Scales
07F3	雪笠怪的果实		Snover Berries
07F4	洛托姆的电力		Rotom Sparks
07F5	百合根娃娃的叶片		Petilil Leaf
07F6	野蛮鲈鱼的牙		Basculin Fang
07F7	黑眼鳄的爪子		Sandile Claw
07F8	索罗亚的毛		Zorua Fur
07F9	哥德宝宝的睫毛		Gothita Eyelash
07FA	四季鹿的毛		Deerling Hair
07FB	哎呀球菇的孢子		Foongus Spores
07FC	保姆曼波的黏液		Alomomola Mucus
07FD	麻麻小鱼的黏液		Tynamo Slime
07FE	牙牙的鳞片		Axew Scales
07FF	喷嚏熊的毛		Cubchoo Fur
0800	几何雪花的冰		Cryogonal Ice
0801	驹刀小兵的刀		Pawniard Blade
0802	毛头小鹰的羽毛		Rufflet Feather
0803	单首龙的鳞片		Deino Scales
0804	燃烧虫的毛		Larvesta Fuzz
0805	小箭雀的羽毛		Fletchling Feather
0806	粉蝶虫的粉		Scatterbug Powder
0807	小狮狮的鬃毛		Litleo Tuft
0808	花蓓蓓的花粉		Flabébé Pollen
0809	坐骑小羊的叶片		Skiddo Leaf
080A	垃垃藻的碎藻		Skrelp Kelp
080B	铁臂枪虾的钳子		Clauncher Claw
080C	摔角鹰人的羽绒		Hawlucha Down
080D	咚咚鼠的毛		Dedenne Fur
080E	黏黏宝的黏液		Goomy Goo
080F	钥圈儿的钥匙		Klefki Key
0810	冰宝的冰		Bergmite Ice
0811	嗡蝠的毛		Noibat Fur
0812	猫鼬少的毛		Yungoos Fur
0813	好胜蟹的壳		Crabrawler Shell
0814	花舞鸟的羽毛		Oricorio Feather
0815	岩狗狗的岩石		Rockruff Rock
0816	好坏星的刺		Mareanie Spike
0817	泥驴仔的泥巴		Mudbray Mud
0818	伪螳草的叶片		Fomantis Leaf
0819	夜盗火蜥的气体		Salandit Gas
081A	甜竹竹的汗		Bounsweet Sweat
081B	智挥猩的毛		Oranguru Fur
081C	投掷猴的毛		Passimian Fur
081D	沙丘娃的沙		Sandygast Sand
081E	树枕尾熊的爪子		Komala Claw
081F	谜拟丘的残片		Mimikyu Scrap
0820	磨牙彩皮鱼的牙齿		Bruxish Tooth
0821	咬咬龟的爪子		Chewtle Claw
0822	贪心栗鼠的毛		Skwovet Fur
0823	刺梭鱼的鳞片		Arrokuda Scales
0824	稚山雀的羽毛		Rookidee Feather
0825	电音婴的电力		Toxel Sparks
0826	列阵兵的汗		Falinks Sweat
0827	铜象的锈		Cufant Tarnish
0828	小炭仔的煤炭		Rolycoly Coal
0829	沙包蛇的沙		Silicobra Sand
082A	爱管侍的毛		Indeedee Fur
082B	啪嚓海胆的针		Pincurchin Spines
082C	雪吞虫的丝		Snom Thread
082D	捣蛋小妖的毛		Impidimp Hair
082E	啃果虫的果汁		Applin Juice
082F	来悲茶的碎片		Sinistea Chip
0830	迷布莉姆的掉落物		Hatenna Dust
0831	巨石丁的岩石		Stonjourner Stone
0832	冰砌鹅的羽绒		Eiscue Down
0833	多龙梅西亚的粉		Dreepy Powder
0834			
0835			
0836			
0837	爱吃豚的毛		Lechonk Hair
0838	团珠蛛的丝		Tarountula Thread
0839	豆蟋蟀的爪子		Nymble Claw
083A	虫滚泥的泥巴		Rellor Mud
083B	墓仔狗的蜡		Greavard Wax
083C	飘飘雏的羽绒		Flittle Down
083D	海地鼠的沙		Wiglett Sand
083E	吃吼霸的胡须		Dondozo Whisker
083F	轻身鳕的鱼片		Veluza Fillet
0840	波普海豚的黏液		Finizen Mucus
0841	迷你芙的油		Smoliv Oil
0842	热辣娃的种子		Capsakid Seed
0843	光蚪仔的黏液		Tadbulb Mucus
0844	噗隆隆的气体		Varoom Fume
0845	拖拖蚓的锈		Orthworm Tarnish
0846	一对鼠的毛		Tandemaus Fur
0847	走鲸的油脂		Cetoddle Grease
0848	凉脊龙的鳞片		Frigibax Scales
0849	米立龙的鳞片		Tatsugiri Scales
084A	摩托蜥的鳞片		Cyclizar Scales
084B	布拨的毛		Pawmi Fur
084C			
084D			
084E	电海燕的羽毛		Wattrel Feather
084F	下石鸟的羽毛		Bombirdier Feather
0850	怒鹦哥的羽毛		Squawkabilly Feather
0851	缠红鹤的羽绒		Flamigo Down
0852	毛崖蟹的钳子		Klawf Claw
0853	盐石宝的盐		Nacli Salt
0854	晶光芽的结晶		Glimmet Crystal
0855	滋汁鼹的墨汁		Shroodle Ink
0856	狗仔包的毛		Fidough Fur
0857	偶叫獒的牙		Maschiff Fang
0858	纳噬草的枝条		Bramblin Twig
0859	索财灵的硬币		Gimmighoul Coin
085A			
085B			
085C			
085D			
085E			
085F			
0860			
0861			
0862			
0863			
0864			
0865			
0866			
0867			
0868			
0869			
086A			
086B			
086C	小锻匠的毛		Tinkatink Hair
086D	炭小侍的煤灰		Charcadet Soot
086E	原野水母的薄片		Toedscool Flaps
086F	乌波的黏液		Wooper Slime
0870	招式学习器１００		TM100
0871	招式学习器１０１		TM101
0872	招式学习器１０２		TM102
0873	招式学习器１０３		TM103
0874	招式学习器１０４		TM104
0875	招式学习器１０５		TM105
0876	招式学习器１０６		TM106
0877	招式学习器１０７		TM107
0878	招式学习器１０８		TM108
0879	招式学习器１０９		TM109
087A	招式学习器１１０		TM110
087B	招式学习器１１１		TM111
087C	招式学习器１１２		TM112
087D	招式学习器１１３		TM113
087E	招式学习器１１４		TM114
087F	招式学习器１１５		TM115
0880	招式学习器１１６		TM116
0881	招式学习器１１７		TM117
0882	招式学习器１１８		TM118
0883	招式学习器１１９		TM119
