图鉴序号	名称	中文	日文
1	Bulbasaur	妙蛙种子	フシギダネ
2	Ivysaur	妙蛙草	フシギソウ
3	Venusaur	妙蛙花	フシギバナ
4	Charmander	小火龙	ヒトカゲ
5	Charmeleon	火恐龙	リザード
6	Charizard	喷火龙	リザードン
7	Squirtle	杰尼龟	ゼニガメ
8	Wartortle	卡咪龟	カメール
9	Blastoise	水箭龟	カメックス
23	Ekans	阿柏蛇	アーボ
24	Arbok	阿柏怪	アーボック
25	Pikachu	皮卡丘	ピカチュウ
26	Raichu	雷丘	ライチュウ
27	Sandshrew	穿山鼠	サンド
28	Sandslash	穿山王	サンドパン
35	Clefairy	皮皮	ピッピ
36	Clefable	皮可西	ピクシー
37	Vulpix	六尾	ロコン
38	Ninetales	九尾	キュウコン
39	Jigglypuff	胖丁	プリン
40	Wigglytuff	胖可丁	プクリン
43	Oddish	走路草	ナゾノクサ
44	Gloom	臭臭花	クサイハナ
45	Vileplume	霸王花	ラフレシア
48	Venonat	毛球	コンパン
49	Venomoth	摩鲁蛾	モルフォン
50	Diglett	地鼠	ディグダ
51	Dugtrio	三地鼠	ダグトリオ
52	Meowth	喵喵	ニャース
53	Persian	猫老大	ペルシアン
54	Psyduck	可达鸭	コダック
55	Golduck	哥达鸭	ゴルダック
56	Mankey	猴怪	マンキー
57	Primeape	火暴猴	オコリザル
58	Growlithe	卡蒂狗	ガーディ
59	Arcanine	风速狗	ウインディ
60	Poliwag	蚊香蝌蚪	ニョロモ
61	Poliwhirl	蚊香君	ニョロゾ
62	Poliwrath	蚊香泳士	ニョロボン
69	Bellsprout	喇叭芽	マダツボミ
70	Weepinbell	口呆花	ウツドン
71	Victreebel	大食花	ウツボット
72	Tentacool	玛瑙水母	メノクラゲ
73	Tentacruel	毒刺水母	ドククラゲ
74	Geodude	小拳石	イシツブテ
75	Graveler	隆隆石	ゴローン
76	Golem	隆隆岩	ゴローニャ
79	Slowpoke	呆呆兽	ヤドン
80	Slowbro	呆壳兽	ヤドラン
81	Magnemite	小磁怪	コイル
82	Magneton	三合一磁怪	レアコイル
84	Doduo	嘟嘟	ドードー
85	Dodrio	嘟嘟利	ドードリオ
86	Seel	小海狮	パウワウ
87	Dewgong	白海狮	ジュゴン
88	Grimer	臭泥	ベトベター
89	Muk	臭臭泥	ベトベトン
90	Shellder	大舌贝	シェルダー
91	Cloyster	刺甲贝	パルシェン
92	Gastly	鬼斯	ゴース
93	Haunter	鬼斯通	ゴースト
94	Gengar	耿鬼	ゲンガー
96	Drowzee	催眠貘	スリープ
97	Hypno	引梦貘人	スリーパー
100	Voltorb	霹雳电球	ビリリダマ
101	Electrode	顽皮雷弹	マルマイン
102	Exeggcute	蛋蛋	タマタマ
103	Exeggutor	椰蛋树	ナッシー
106	Hitmonlee	飞腿郎	サワムラー
107	Hitmonchan	快拳郎	エビワラー
109	Koffing	瓦斯弹	ドガース
110	Weezing	双弹瓦斯	マタドガス
111	Rhyhorn	独角犀牛	サイホーン
112	Rhydon	钻角犀兽	サイドン
113	Chansey	吉利蛋	ラッキー
116	Horsea	墨海马	タッツー
117	Seadra	海刺龙	シードラ
123	Scyther	飞天螳螂	ストライク
125	Electabuzz	电击兽	エレブー
126	Magmar	鸭嘴火兽	ブーバー
128	Tauros	肯泰罗	ケンタロス
129	Magikarp	鲤鱼王	コイキング
130	Gyarados	暴鲤龙	ギャラドス
131	Lapras	拉普拉斯	ラプラス
132	Ditto	百变怪	メタモン
133	Eevee	伊布	イーブイ
134	Vaporeon	水伊布	シャワーズ
135	Jolteon	雷伊布	サンダース
136	Flareon	火伊布	ブースター
137	Porygon	多边兽	ポリゴン
143	Snorlax	卡比兽	カビゴン
144	Articuno	急冻鸟	フリーザー
145	Zapdos	闪电鸟	サンダー
146	Moltres	火焰鸟	ファイヤー
147	Dratini	迷你龙	ミニリュウ
148	Dragonair	哈克龙	ハクリュー
149	Dragonite	快龙	カイリュー
150	Mewtwo	超梦	ミュウツー
151	Mew	梦幻	ミュウ
152	Chikorita	菊草叶	チコリータ
153	Bayleef	月桂叶	ベイリーフ
