TM001	Take Down	とっしん	猛撞
TM002	Charm	あまえる	撒娇
TM003	Fake Tears	うそなき	假哭
TM004	Agility	こうそくいどう	高速移动
TM005	Mud-Slap	どろかけ	掷泥
TM006	Scary Face	こわいかお	可怕面孔
TM007	Protect	まもる	守住
TM008	Fire Fang	ほのおのキバ	火焰牙
TM009	Thunder Fang	かみなりのキバ	雷电牙
TM010	Ice Fang	こおりのキバ	冰冻牙
TM011	Water Pulse	みずのはどう	水之波动
TM012	Low Kick	けたぐり	踢倒
TM013	Acid Spray	アシッドボム	酸液炸弹
TM014	Acrobatics	アクロバット	杂技
TM015	Struggle Bug	むしのていこう	虫之抵抗
TM016	Psybeam	サイケこうせん	幻象光线
TM017	Confuse Ray	あやしいひかり	奇异之光
TM018	Thief	どろぼう	小偷
TM019	Disarming Voice	チャームボイス	魅惑之声
TM020	Trailblaze	くさわけ	起草
TM021	Pounce	とびつく	虫扑
TM022	Chilling Water	ひやみず	泼冷水
TM023	Charge Beam	チャージビーム	充电光束
TM024	Fire Spin	ほのおのうず	火焰旋涡
TM025	Facade	からげんき	硬撑
TM026	Poison Tail	ポイズンテール	毒尾
TM027	Aerial Ace	つばめがえし	燕返
TM028	Bulldoze	じならし	重踏
TM029	Hex	たたりめ	祸不单行
TM030	Snarl	バークアウト	大声咆哮
TM031	Metal Claw	メタルクロー	金属爪
TM032	Swift	スピードスター	高速星星
TM033	Magical Leaf	マジカルリーフ	魔法叶
TM034	Icy Wind	こごえるかぜ	冰冻之风
TM035	Mud Shot	マッドショット	泥巴射击
TM036	Rock Tomb	がんせきふうじ	岩石封锁
TM037	Draining Kiss	ドレインキッス	吸取之吻
TM038	Flame Charge	ニトロチャージ	蓄能焰袭
TM039	Low Sweep	ローキック	下盘踢
TM040	Air Cutter	エアカッター	空气利刃
TM041	Stored Power	アシストパワー	辅助力量
TM042	Night Shade	ナイトヘッド	黑夜魔影
TM043	Fling	なげつける	投掷
TM044	Dragon Tail	ドラゴンテール	龙尾
TM045	Venoshock	ベノムショック	毒液冲击
TM046	Avalanche	ゆきなだれ	雪崩
TM047	Endure	こらえる	挺住
TM048	Volt Switch	ボルトチェンジ	伏特替换
TM049	Sunny Day	にほんばれ	大晴天
TM050	Rain Dance	あまごい	求雨
TM051	Sandstorm	すなあらし	沙暴
TM052	Snowscape	ゆきげしき	雪景
TM053	Smart Strike	スマートホーン	修长之角
TM054	Psyshock	サイコショック	精神冲击
TM055	Dig	あなをほる	挖洞
TM056	Bullet Seed	タネマシンガン	种子机关枪
TM057	False Swipe	みねうち	点到为止
TM058	Brick Break	かわらわり	劈瓦
TM059	Zen Headbutt	しねんのずつき	意念头锤
TM060	U-turn	とんぼがえり	急速折返
TM061	Shadow Claw	シャドークロー	暗影爪
TM062	Foul Play	イカサマ	移花接木
TM063	Psychic Fangs	サイコファング	精神之牙
TM064	Bulk Up	ビルドアップ	健美
TM065	Air Slash	エアスラッシュ	空气之刃
TM066	Body Slam	のしかかり	泰山压顶
TM067	Fire Punch	ほのおのパンチ	火焰拳
TM068	Thunder Punch	かみなりパンチ	雷电拳
TM069	Ice Punch	れいとうパンチ	冰冻拳
TM070	Sleep Talk	ねごと	梦话
TM071	Seed Bomb	タネばくだん	种子炸弹
TM072	Electro Ball	エレキボール	电球
TM073	Drain Punch	ドレインパンチ	吸取拳
TM074	Reflect	リフレクター	反射壁
TM075	Light Screen	ひかりのかべ	光墙
TM076	Rock Blast	ロックブラスト	岩石爆击
TM077	Waterfall	たきのぼり	攀瀑
TM078	Dragon Claw	ドラゴンクロー	龙爪
TM079	Dazzling Gleam	マジカルシャイン	魔法闪耀
TM080	Metronome	ゆびをふる	挥指
TM081	Grass Knot	くさむすび	打草结
TM082	Thunder Wave	でんじは	电磁波
TM083	Poison Jab	どくづき	毒击
TM084	Stomping Tantrum	じだんだ	跺脚
TM085	Rest	ねむる	睡觉
TM086	Rock Slide	いわなだれ	岩崩
TM087	Taunt	ちょうはつ	挑衅
TM088	Swords Dance	つるぎのまい	剑舞
TM089	Body Press	ボディプレス	扑击
TM090	Spikes	まきびし	撒菱
TM091	Toxic Spikes	どくびし	毒菱
TM092	Imprison	ふういん	封印
TM093	Flash Cannon	ラスターカノン	加农光炮
TM094	Dark Pulse	あくのはどう	恶之波动
TM095	Leech Life	きゅうけつ	汲取
TM096	Eerie Impulse	かいでんぱ	怪异电波
TM097	Fly	そらをとぶ	飞翔
TM098	Skill Swap	スキルスワップ	特性互换
TM099	Iron Head	アイアンヘッド	铁头
TM100	Dragon Dance	りゅうのまい	龙之舞
TM101	Power Gem	パワージェム	力量宝石
