MoveID	CanUseMove	Type	Quality	Category	Power	Accuracy	PP	Priority	HitMax	HitMin	Inflict	CritStage	Flinch	EffectSequence	Recoil	RawHealing	RawTarget	StatAmps	Affinity	FlagMakesContact	FlagCharge	FlagRecharge	FlagProtect	FlagReflectable	FlagSnatch	FlagMirror	FlagPunch	FlagSound	FlagDance	FlagGravity	FlagDefrost	FlagDistanceTriple	FlagHeal	FlagIgnoreSubstitute	FlagFailSkyBattle	FlagAnimateAlly	FlagMetronome	FlagFailEncore	FlagFailMeFirst	FlagFutureAttack	FlagPressure	FlagCombo	FlagNoSleepTalk	FlagNoAssist	FlagFailCopycat	FlagFailMimic	FlagFailInstruct	FlagPowder	FlagBite	FlagBullet	FlagNoMultiHit	FlagNoEffectiveness	FlagSheerForce	FlagSlicing	FlagWind	Unknown56	Unknown57	Unknown58	Unknown59	Unknown60	Unused61	Unused62	Unused63	Unused64	Unused65	Unused66	Unused67	Unused68	Unused69	Unused70	FlagCantUseTwice	FlagNoSketch
0	True	0	0	1	40	100	35	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	None	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
1	True	0	0	1	40	100	35	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
2	False	1	0	1	50	100	25	0	0	0	0|0|0|0|0	1	0	43	0	0	0	0|0|0|0|0|0|0|0|0	None	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
3	False	0	0	1	15	85	10	0	5	2	0|0|0|0|0	0	0	29	0	0	0	0|0|0|0|0|0|0|0|0	None	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
4	False	0	0	1	18	85	15	0	5	2	0|0|0|0|0	0	0	29	0	0	0	0|0|0|0|0|0|0|0|0	None	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
5	True	0	0	1	80	85	20	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
6	True	0	0	1	40	100	20	0	0	0	0|0|0|0|0	0	0	34	0	0	0	0|0|0|0|0|0|0|0|0	Attack	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
7	True	9	4	1	75	100	15	0	0	0	4|10|1|0|0	0	0	4	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
8	True	14	4	1	75	100	15	0	0	0	3|10|1|0|0	0	0	5	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
9	True	12	4	1	75	100	15	0	0	0	1|10|1|0|0	0	0	6	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
10	True	0	0	1	40	100	35	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
11	True	0	0	1	55	100	30	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
12	True	0	9	1	1	30	5	0	0	0	0|0|0|0|0	0	0	38	0	0	0	0|0|0|0|0|0|0|0|0	Strong	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
13	False	0	0	2	80	100	10	0	0	0	0|0|0|0|0	1	0	39	0	0	5	0|0|0|0|0|0|0|0|0	None	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
14	True	0	2	0	0	101	20	0	0	0	0|0|0|0|0	0	0	50	0	0	7	1|2|0|0|0|0|0|0|0	Attack	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
15	True	0	0	1	50	95	30	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
16	True	2	0	2	40	100	35	0	0	0	0|0|0|0|0	0	0	149	0	0	0	0|0|0|0|0|0|0|0|0	Attack	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
17	True	2	0	1	60	100	35	0	0	0	0|0|0|0|0	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0	Attack	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
18	True	0	12	0	0	101	20	-6	0	0	0|0|0|0|0	0	0	28	0	0	0	0|0|0|0|0|0|0|0|0	Self	False	False	False	False	True	False	True	False	False	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
